scenario;region;variables;unit;2019;2050;;scenario,region,variables,unit,2019,2050
Extensive reindustrialization - M23;FR;Production|Electricity|Low to medium;TWh/year;1;1;;Extensive reindustrialization - M23,FR,Production|Electricity|Low to medium,TWh/year,1,1
Extensive reindustrialization - M23;FR;Production|Electricity|Medium to high;TWh/year;1;1;;Extensive reindustrialization - M23,FR,Production|Electricity|Medium to high,TWh/year,1,1
Extensive reindustrialization - M23;FR;Production|Electricity|Import;TWh/year;2.035906643;2.035906643;;Extensive reindustrialization - M23,FR,Production|Electricity|Import,TWh/year,2.035906643,2.035906643
Extensive reindustrialization - M23;FR;Consumption|Electricity|Export;TWh/year;58.73590664;58.73590664;;Extensive reindustrialization - M23,FR,Consumption|Electricity|Export,TWh/year,58.73590664,58.73590664
Extensive reindustrialization - M23;FR;Production|Electricity|Total without production from flexibility;TWh/year;532.9;532.9;;Extensive reindustrialization - M23,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,532.9
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Coal;TWh/year;1.423648995;1.423648995;;Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,1.423648995
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Fuel oil;TWh/year;2.04649543;2.04649543;;Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,2.04649543
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Natural gas;TWh/year;34.345532;34.345532;;Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,34.345532
Extensive reindustrialization - M23;FR;Production|Electricity|Conventional|Waste;TWh/year;1.957517368;1.957517368;;Extensive reindustrialization - M23,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.957517368
Extensive reindustrialization - M23;FR;Production|Electricity|Hydro|Reservoir;TWh/year;7.687704572;7.687704572;;Extensive reindustrialization - M23,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,7.687704572
Extensive reindustrialization - M23;FR;Production|Electricity|Run-of-river hydro;TWh/year;40.36044901;40.36044901;;Extensive reindustrialization - M23,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,40.36044901
Extensive reindustrialization - M23;FR;Production|Electricity|Nuclear|Evolutionary Power Reactor;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Electricity|Nuclear|Pressure water reactor;TWh/year;337.2268557;337.2268557;;Extensive reindustrialization - M23,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,337.2268557
Extensive reindustrialization - M23;FR;Production|Electricity|Nuclear|Small Modular Reactor;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Biomass;TWh/year;8.630872032;8.630872032;;Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.630872032
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Photovoltaic;TWh/year;10.32145521;10.32145521;;Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,10.32145521
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Sea;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Wind turbines|Offshore;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Electricity|Renewable|Wind turbines|Onshore;TWh/year;30.16356308;30.16356308;;Extensive reindustrialization - M23,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,30.16356308
Extensive reindustrialization - M23;FR;Production|Electricity|Storage|Hydro|Pumped storage;TWh/year;5.5;5.5;;Extensive reindustrialization - M23,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,5.5
Extensive reindustrialization - M23;FR;Production|Electricity|Storage|Hydrogen;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|Biomethane;%;0.1;0.1;;Extensive reindustrialization - M23,FR,Production|Gaseous fuel|Biomethane,%,0.1,0.1
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|CNG;%;56.9;56.9;;Extensive reindustrialization - M23,FR,Production|Gaseous fuel|CNG,%,56.9,56.9
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|LNG;%;43;43;;Extensive reindustrialization - M23,FR,Production|Gaseous fuel|LNG,%,43,43
Extensive reindustrialization - M23;FR;Production|Gaseous fuel|Low to high;%;1;1;;Extensive reindustrialization - M23,FR,Production|Gaseous fuel|Low to high,%,1,1
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Diesel|Biodiesel;%;7;7;;Extensive reindustrialization - M23,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,7
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Diesel|Diesel;%;93;93;;Extensive reindustrialization - M23,FR,Production|Liquid fuel|Diesel|Diesel,%,93,93
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Petrol|Bioethanol;%;7;7;;Extensive reindustrialization - M23,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,7
Extensive reindustrialization - M23;FR;Production|Liquid fuel|Petrol|Petrol;%;93;93;;Extensive reindustrialization - M23,FR,Production|Liquid fuel|Petrol|Petrol,%,93,93
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Electrolysis;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Electrolysis,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Steam methane reforming;TWh/year;4.1;4.1;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Steam methane reforming,TWh/year,4.1,4.1
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Coking;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Oil refining;TWh/year;8.9;8.9;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Oil refining,TWh/year,8.9,8.9
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Chlore;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Chemicals;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Refineries|Co-produced|Ammonia;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Electrolysis;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Electrolysis,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Steam methane reforming;TWh/year;7.2;7.2;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh/year,7.2,7.2
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Coking;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Oil refining;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Chlore;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Chemicals;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Ammonia;TWh/year;0.7;0.7;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Ammonia,TWh/year,0.7,0.7
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Electrolysis;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Electrolysis,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Steam methane reforming;TWh/year;1;1;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh/year,1,1
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Coking;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Oil refining;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Chlore;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Chemicals;TWh/year;0.6;0.6;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Chemicals,TWh/year,0.6,0.6
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Ammonia;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Electrolysis;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Electrolysis,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Steam methane reforming;TWh/year;1;1;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Steam methane reforming,TWh/year,1,1
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Coking;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Oil refining;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Chlore;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Chemicals;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Ammonia;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Electrolysis;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Electrolysis,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Steam methane reforming;TWh/year;0.3;0.3;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Steam methane reforming,TWh/year,0.3,0.3
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Coking;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Oil refining;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Chlore;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Chemicals;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Ammonia;TWh/year;0;0;;Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - N03;FR;Distribution losses|Gaseous fuel|Low to high;PJ/year;1;1;;Extensive reindustrialization - N03,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,1
Extensive reindustrialization - N03;FR;Efficiency|Electricity|Hydrogen|Fuel cell;%;50;64;;Extensive reindustrialization - N03,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,64
Extensive reindustrialization - N03;FR;Production|Electricity|Low to medium;TWh/year;1;1;;Extensive reindustrialization - N03,FR,Production|Electricity|Low to medium,TWh/year,1,1
Extensive reindustrialization - N03;FR;Production|Electricity|Medium to high;TWh/year;1;1;;Extensive reindustrialization - N03,FR,Production|Electricity|Medium to high,TWh/year,1,1
Extensive reindustrialization - N03;FR;Production|Electricity|Import;TWh/year;2.035906643;2.035906643;;Extensive reindustrialization - N03,FR,Production|Electricity|Import,TWh/year,2.035906643,2.035906643
Extensive reindustrialization - N03;FR;Consumption|Electricity|Export;TWh/year;58.73590664;58.73590664;;Extensive reindustrialization - N03,FR,Consumption|Electricity|Export,TWh/year,58.73590664,58.73590664
Extensive reindustrialization - N03;FR;Production|Electricity|Total without production from flexibility;TWh/year;532.9;532.9;;Extensive reindustrialization - N03,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,532.9
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Coal;TWh/year;1.423648995;1.423648995;;Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,1.423648995
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Fuel oil;TWh/year;2.04649543;2.04649543;;Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,2.04649543
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Natural gas;TWh/year;34.345532;34.345532;;Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,34.345532
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Waste;TWh/year;1.957517368;1.957517368;;Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.957517368
Extensive reindustrialization - N03;FR;Production|Electricity|Hydro|Reservoir;TWh/year;7.687704572;7.687704572;;Extensive reindustrialization - N03,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,7.687704572
Extensive reindustrialization - N03;FR;Production|Electricity|Run-of-river hydro;TWh/year;40.36044901;40.36044901;;Extensive reindustrialization - N03,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,40.36044901
Extensive reindustrialization - N03;FR;Production|Electricity|Nuclear|Evolutionary Power Reactor;TWh/year;0;0;;Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0
Extensive reindustrialization - N03;FR;Production|Electricity|Nuclear|Pressure water reactor;TWh/year;337.2268557;337.2268557;;Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,337.2268557
Extensive reindustrialization - N03;FR;Production|Electricity|Nuclear|Small Modular Reactor;TWh/year;0;0;;Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Biomass;TWh/year;8.630872032;8.630872032;;Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.630872032
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Photovoltaic;TWh/year;10.32145521;10.32145521;;Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,10.32145521
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Sea;TWh/year;0;0;;Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Wind turbines|Offshore;TWh/year;0;0;;Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Wind turbines|Onshore;TWh/year;30.16356308;30.16356308;;Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,30.16356308
Extensive reindustrialization - N03;FR;Production|Electricity|Storage|Hydro|Pumped storage;TWh/year;5.5;5.5;;Extensive reindustrialization - N03,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,5.5
Extensive reindustrialization - N03;FR;Production|Electricity|Storage|Hydrogen;TWh/year;0;0;;Extensive reindustrialization - N03,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0
